id_program,id_site,id_organization,program_name,agency_name,site_name,site_address,site_city,site_county,site_province,site_country,site_postalcode,site_latitude,site_longitude,id_cioc,pubcode_cioc,heading_cioc,category,tax_code,tax_name,physical_access,desc_program,desc_agency,email,how_to_apply,eligibilty,fees,funding_source,hours,languages_of_service,website,coverage_cioc,phone_office,phone_tollfree,phone_tty,fax,last_verified_date,record_owner,record_language
53937664,53937663,53937662,Trinity Community Table,Trinity Anglican Church,Cambridge Location,12 Blair Rd,Cambridge,Waterloo,ON,Canada,N1S 2H5,43.360871,-80.316946,CND0079,CEP; TAX,Food -- Meals; Immediate,Free / Low Cost Meals;Free / Low-cost meals;Homeless meals,BD-5000.8300,Homeless Meals,,"Provides hot, nourishing noon hour meals on Monday, Wednesday and Fridays to individuals and families in need.",Religious organization,office@trinitycambridgeon.com,No application required,No restrictions * families welcome<br /><br />Age Requirements: Ages: 16 year(s) and up;,None,,"Mon, Wed and Fri: coffee & donuts at 9:30 am * lunch served at 11:30 am-12:30 pm",English,www.trinityanglican.on.ca/TCT.html,Waterloo - NULL - NULL,519-621-8860,,,,Dec 21 2017,,en
53938866,53938865,53938864,Owen Sound Farmers' Market,Owen Sound Farmers' Market,Owen Sound Farmers' Market,114 8th St E,Owen Sound,Grey,ON,Canada,N4K 1K8,44.563959,-80.943486,GBA1572,CWD-NEWHUB,Grocery & Food,Free / Low-cost meals,BD-2400.2250,Farmers Markets,,"Year-round farmer's market offers:
<br>* arts & crafts
<br>* fresh fruits & vegetables
<br>* eggs, fish, meat and poultry
<br>* fresh pasta
<br>* maple syrup
<br>* variety of other vendors which may include books, jewellery natural health and herbal products","Year-round farmer's market offers:
<br>* arts & crafts
<br>* fresh fruits & vegetables
<br>* eggs, fish, meat and poultry
<br>* fresh pasta
<br>* maple syrup
<br>* variety of other vendors which may include books, jewellery natural health and herbal products",marketboy@bmts.com,Call or visit website for information * vendor applications available online,No restrictions,Service ; free parking,,"Market: Sat 8 am-12:30 pm
Dates: Year round",English,www.owensoundfarmersmarket.ca,Bruce - NULL - NULL;Grey - NULL - NULL,519-371-3433,,,,Oct 24 2017,,en
54181021,54181020,54181019,The Lighthouse,Good Friends Fellowship,Orangeville - 207 Broadway St,207 Broadway Ave,Orangeville,Dufferin,ON,Canada,L9W 1K4,43.919337,-80.098138,DUF0184,TAX,Food -- Meals,Free / Low Cost Meals;Free / Low-cost meals,BD-5000.1470; TC-1700,Community Meals; Drop In Centres,,"Provides free meals and a safe meeting place as well as social, physical and spiritual care to anyone in need throughout Dufferin County.",Christian faith-based church offering a wide range of programs,,Drop in,No restrictions,None,,Mon-Fri 11:30 am-1 pm * Office hours: 9 am-4 pm Mon-Fri,English,www.goodfriendschurch.com,Dufferin - NULL - NULL,519-942-0736,,,,Dec 21 2017,,en
54526625,54526624,54526623,Community Breakfast,Knox Presbyterian Church - St Thomas,Knox Presbyterian Church - St Thomas,55 Hincks St,St Thomas,Elgin,ON,Canada,N5R 3N9,42.776566,-81.19733,LON0236,CEP; TAX,Food -- Meals; Immediate,Free / Low Cost Meals;Free / Low-cost meals;Homeless meals,BD-5000.1470; BD-5000.8300; PV-6500.1500*YR-1500.6500; PV-6500.1500*YR-1500.6500,Community Meals; Homeless Meals; Christian Churches*Communauté presbytérienne; Christian Churches*Presbyterian Community,,Community breakfast held on the second and fourth Sat of each month from 9am-10am * anyone in the community is welcome,Community breakfast held on the second and fourth Sat of each month from 9am-10am * anyone in the community is welcome,office@knoxstthomas.ca,Drop in through Mitchell St entrance or call * no referral required,People and families in need<br /><br />Residency Requirements: Elgin,donations accepted,,Meal: Second and fourth Sat 9am-10am<br>Administration: Mon-Fri 9am-1pm,English,www.knoxstthomas.ca,Elgin - NULL - NULL,519-631-2414,,,519-631-3366,Jan 25 2018,thehealthline.ca Information Network,en
54547476,54547475,54547474,Open Arms Café,Parish of St John the Divine Anglican Church,St John's Anglican Church,301 Main St E,North Bay,Nipissing,ON,Canada,P1B 1B3,46.307244,-79.46151,NPS0675,TAX,Food -- Meals,Free / Low Cost Meals;Free / Low-cost meals,BD-5000.1470,Community Meals,,Offers a free meal and fellowship in the Church Hall,An Anglican Church in North Bay offering worship services and community ministries,sjdparish@gmail.com,No application process,No restrictions,None,,Wed 5 pm-6 pm,English,www.stjohndivine.ca/,Nipissing - North Bay - NULL,705-472-6070,,,,Jan 19 2018,211 Ontario North,en
54547478,54547475,54547474,Community Brunch,Parish of St John the Divine Anglican Church,St John's Anglican Church,301 Main St E,North Bay,Nipissing,ON,Canada,P1B 1B3,46.307244,-79.46151,NPS0676,TAX,Food -- Meals,Free / Low Cost Meals;Free / Low-cost meals,BD-5000.1470,Community Meals,,"Offers a community brunch in the Parish Hall, free of charge, for those in need",An Anglican Church in North Bay offering worship services and community ministries,sjdparish@gmail.com,No application process,No restrictions,None,,Every Second Sat 8:30 am-10:30 am,English,www.stjohndivine.ca/,Nipissing - North Bay - NULL,705-472-6070,,,,Jan 19 2018,211 Ontario North,en
54685677,54685676,54685675,Kingston Food Providers,Kingston Food Providers,Kingston Food Providers,,Kingston,Frontenac,ON,Canada,,44.231172,-76.485954,KGN6498,DISASTER; O211-6-EASTERN; TAX,Food; Food -- Food Banks; Food and Water,Food banks;Food Hampers;Free / Low Cost Meals;Free / Low-cost meals;Homeless meals;Test - Food Banks,BD-1800.2000*TD-6500; BD-1800.2000*TD-6500; BD-1800.8200-255*TD-6500; BD-1800.8200-255*TD-6500; BD-5000.1470*TD-6500; BD-5000.1470*TD-6500; BD-5000.8300*TD-6500; BD-5000.8300*TD-6500,"Food Banks*Groupes de planification, de coordination et consultatifs; Food Banks*Planning/Coordinating/Advisory Groups; Fresh Food*Groupes de planification, de coordination et consultatifs; Fresh Food*Planning/Coordinating/Advisory Groups; Community Meals*Groupes de planification, de coordination et consultatifs; Community Meals*Planning/Coordinating/Advisory Groups; Homeless Meals*Groupes de planification, de coordination et consultatifs; Homeless Meals*Planning/Coordinating/Advisory Groups",,Food providers who share resources and work together to educate the public about emergency food and meal programs in Kingston.,Food providers who share resources and work together to educate the public about emergency food and meal programs in Kingston.,tara.kainer@providence.ca,Contact Tara Kainer for more information,No restrictions,None,,"Irregular, call for details
Meetings: Meetings held quarterly or as needed * location varies * call for details",English,,Frontenac - Kingston - NULL,Tara Kainer 613-544-4525 ext 113,,,,Feb 7 2018,Community Information Centre of Ottawa,en
54793582,54793581,54793580,St Joseph Parish,St Joseph Parish,Fergus,760 St David St N,Centre Wellington,Wellington,ON,Canada,N1M 2K9,43.711493,-80.387008,GCL2245,TAX,Community -- Churches/Religious,Clothing;Family and individual support;Food banks;Food Hampers;Free / Low Cost Meals;Free / Low-cost meals,BD-1800.2250; BD-5000.1470; PH-1400.1900*YQ-1980; PH-1400.1900*YQ-1980; PS-8000; PV-6500.1500*YR-1500.1350; PV-6500.1500*YR-1500.1350; BM-6500.1500-250; PV-7000,Food Vouchers; Community Meals; Friendly Outreach Programs*Faith Based Organizational Perspective; Friendly Outreach Programs*Points de vue organisationnels axés sur la religion; Social Clubs/Events; Christian Churches*Catholic Community; Christian Churches*Communauté catholique; General Clothing Provision; Religious Activities,,"Offers regular Mass times and a variety of spiritual enrichment activities for members:
<br>* traditional and contemporary choirs 
<br>* Catholic Women's League
<br>* Knights of Columbus
<br>* pastoral team delivers friendly visiting to individuals who are ill or in hospital 
<br>* social activities include Monday Bridge Club, Thursday Potluck luncheon with various activities including a guest speaker or planned outing
<br>* St Vincent de Paul Society can provide support for individuals who are in need of emergency food, clothing or housing - call Parish office for more information",Roman Catholic congregation in the Diocese of Hamilton.,stjos@bellnet.ca,Call or visit website for information,No restrictions,None,,"Weekend Mass Sat 5 pm * Sun 9 am, 11 am
Weekday Mass Tue 7 pm * Wed-Fri 8:30 am
Adoration Chapel Mon-Sun 9 am-5 pm
Office hours Mon-Thu 9 am-12 noon, 1 pm-5 pm",English,stjosephfergus.org,Wellington - Centre Wellington - NULL,519-843-2006,,,519-843-7199,Feb 14 2018,PIN - The People and Information Network,en
54800931,54800930,54800929,Next Church,Next Church,Next Church,89 Colborne St,Kingston,Frontenac,ON,Canada,K7K 1P8,44.23461,-76.49083,KGN6093,O211-6-EASTERN; TAX,Community -- Churches/Religious; Food,Free / Low Cost Meals;Free / Low-cost meals;Parent Education,BD-5000.1470; PS-8200.3100*YO-0300; PS-8200.3100*YO-0300; PV-6500.1500*YR-1500.5000; PV-6500.1500*YR-1500.5000; PH-6100.6800; PV-7000; TA-9000,Community Meals; Humanities Clubs/Societies*Arts and Culture Occupations; Humanities Clubs/Societies*Professions en art et culture; Christian Churches*Communauté méthodiste; Christian Churches*Methodist Community; Parenting Skills Classes; Religious Activities; Visual Arts,,Holds weekly worship services * artistic environment and expression of faith * Sunday school * various small groups for deeper spiritual discussion and prayer * potluck every third Sunday of the month,Holds weekly worship services * artistic environment and expression of faith * Sunday school * various small groups for deeper spiritual discussion and prayer * potluck every third Sunday of the month,infonextchurch@gmail.com,"Call, e-mail or visit website for more information",No restrictions,None,,"Sun 9 am-12 noon * weekday hours vary (visit website for the latest information)
Meetings: Service Sunday 10:10 am",English,www.nextchurch.com,Frontenac - Kingston - NULL,613-777-8562,,,,Feb 9 2018,Community Information Centre of Ottawa,en
54815083,54815082,54815081,St. Joe's Supper Table,St Josephs Parish,St Josephs Parish,151 Laurier Ave E,Ottawa,Ottawa,ON,Canada,K1N 6N8,45.424815,-75.684666,OCR0972,DISASTER; O211-6-EASTERN; TAX,Food; Food -- Meals; Food and Water,Food Banks;Food Hampers;Free / Low Cost Meals;Free / Low-cost meals;Test - Food Banks,BD-1800.2000; BD-5000.1470,Food Banks; Community Meals,,"Serves hot meals and coffee to those in need * sandwiches are also served at the same time, if individuals do not wish to eat inside * operates a community garden in support of the Food Bank and Meal Program
<br>
<br>* The Food Bank Program: offered once a month for people who reside within the Sandy Hill area
<br>* The Food Bank has two locations: 151 Laurier Ave E, Ottawa ON, K1N 6N8 * 300 Wiggins Priv (Community Room, access in back), Ottawa, ON K1N 1B2","Serves hot meals and coffee to those in need * sandwiches are also served at the same time, if individuals do not wish to eat inside * operates a community garden in support of the Food Bank and Meal Program
<br>
<br>* The Food Bank Program: offered once a month for people who reside within the Sandy Hill area
<br>* The Food Bank has two locations: 151 Laurier Ave E, Ottawa ON, K1N 6N8 * 300 Wiggins Priv (Community Room, access in back), Ottawa, ON K1N 1B2",stjsuppertable@gmail.com,"Call or drop-in<br><br>

* To locate the food bank serving a region, use the Ottawa Food Bank locator, click <a href=""http://ottawafoodbank.ca/get-help"">here</a>. * <b>NOTE:</b> Be aware that area served boundaries may vary depending on whether the street address OR the postal code is used to locate the proper food bank, if unsure, call to confirm.","No restrictions<br /><br />Residency Requirements: North-South: Rideau St to 417
East-West: Rideau River to Rideau Canal (Food Bank Program only)",None,,"Administration Mon-Fri 8 am-7:30 pm * Sat 1 am-5 pm
Coffee Mon-Fri 10 am-4 pm, Sat 11 am- 4 pm
Food Bank 151 Laurier Ave E, Fri 1 pm-3 pm * 300 Wiggins Priv Sat 10:30 am-12 noon
Meals and Lunch bags Mon-Fri 5 pm-6:15 pm
Dates: Year-round * closed on Statutory Holidays, Christmas and New Years day",English; French,www.stjsuppertable.ca,Ottawa - Ottawa - NULL,613-233-4095 ext 240,,,613-233-4594,Feb 9 2018,Community Information Centre of Ottawa,en
54820874,54820873,54820872,Market at the Square,Market at the Square,Market at the Square,Peterborough Square; 360 George St N,Peterborough,Peterborough,ON,Canada,K9H 7E7,44.304113,-78.319358,PET1044,PET-BLUEBOOK,Business / Consumer Services; Farming / Agriculture / Horticulture; Food / Food Banks / Meal Programs,Free / Low-cost meals,BD-2400.2250,Farmers Markets,,"*A Thursday farmer's market inside Peterborough Square.  
<br>* Vendors sell produce and food related items as well as arts and crafts.  
<br>* New vendors welcome.","*A Thursday farmer's market inside Peterborough Square.  
<br>* Vendors sell produce and food related items as well as arts and crafts.  
<br>* New vendors welcome.",ptsquare@nexicom.net,None,No restrictions,Program - Vendors charged nominal fee for their space ; Service - Shoppers pay for items purchased,,"Thu 8am-2pm
Dates: Thanksgiving to Christmas annually",English,,Peterborough - NULL - NULL,705-742-0493,,,,Aug 13 2015,,en
54823610,54823609,54823608,Grace Anglican Church,Grace Anglican Church,Brantford - Pearl St,4 Pearl St,Brantford,Brant,ON,Canada,N3T 3N4,43.141933,-80.26809,SIM4228,DISASTER; INFOBHN-CAT; TAX,Community -- Churches/Religious; Faith Based; Food; Food and Water; Food Banks; Free / Low-Cost Meals; Spiritual Care / Support,Food banks;Food Hampers;Free / Low Cost Meals;Free / Low-cost meals;Homeless meals;Test - Food Banks,BD-1800.2000; BD-5000.8300; PV-6500.1500,Food Banks; Homeless Meals; Christian Churches,,"Community Anglican Church offering worship services, Sunday school and nursery * The Emergency Food Cupboard * Daily Bread Dinners
<br>
<br>Grace Anglican Church also participates in the City of Brantford's Monthly Food Program
<br><a href=""http://www.brantford.ca/residents/support_services/Pages/MonthlyFoodCalendar.aspx"">View this month's food programs</a>",Anglican Church,gracesecretary@kwic.com,"Call, e-mail or drop-in * no application required",No restrictions,None,,"Office Hours - Mon-Thu 9 am-12 noon
Worship Service - Sun 8:30 am & 10:30 am and Wed at 10 am
Emergency Food Cupboard - Mon & Thu 9:30 am-11:30 am (excludes holidays)
Daily Bread Dinners - Wed 4:30 pm
Praise and Pizza Night - first Sat of the month at 4:30 pm (Oct-Jun)",English,,Brant - Brantford - NULL;Brant - NULL - NULL,519-752-6814,,,,Feb 12 2018,Contact Brant,en
